,date,supplier_name,account_type,supplier_terminal_name,product_name,base_gallons_Daily,base_gallons_Monthly,base_gallons_Weekly,lifted_gallons_daily_flag,lifted_gallons_daily_modified,Modified_WeeksByLiftedGallons,lifted_gallons_modified_WeeksByLiftedGallons,lifted_gallons_Daily,Lifted_actual_monthly,lifted_gallons_monthly_flag,lifted_gallons_Monthly,Lifted_actual_weekly,lifted_gallons_weekly_flag,WeeksByLiftedGallons,lifted_gallonsWeekly_modified_aposteriori,Modified_LiftedGallonsaposteriori,lifted_gallons_Weekly,beginning_gallons_Daily,beginning_gallons_Monthly,beginning_gallons_Weekly,en_allocation_status_Daily,en_allocation_status_Monthly,en_allocation_status_Weekly,percentage_allocation_Daily_actual,percentage_allocation_Daily,percentage_allocation_Monthly_actual,percentage_allocation_Monthly,percentage_allocation_Weekly_actual,percentage_allocation_Weekly,alerts_ratability_Daily,alerts_ratability_Monthly,alerts_ratability_Weekly,next_refresh_date_Daily,next_refresh_date_Monthly,Week_switch,Modified_NRD,next_refresh_date_Weekly,en_account_type_Daily,en_account_type_Monthly,en_account_type_Weekly,NRB_Daily,next_refresh_base_gallons_Daily,NRB_Monthly,next_refresh_base_gallons_Monthly,next_refresh_base_gallons_Weekly,remaining_gallons_Daily,remaining_gallons_Monthly,remaining_gallons_Weekly,additional_gallons_allowed_Daily,additional_gallons_allowed_Monthly,additional_gallons_allowed_Weekly,additional_gallons_remaining_Daily,additional_gallons_remaining_Monthly,additional_gallons_remaining_Weekly,staging_id_Daily,staging_id_Monthly,staging_id_Weekly,execution_date_Daily,execution_date_Monthly,execution_date_Weekly,customer_name_Daily,customer_name_Monthly,customer_name_Weekly,base_gallons_Daily_Reconciled,base_gallons_Monthly_Reconciled,base_gallons_Weekly_Reconciled,beginning_gallons_Daily_Reconciled,beginning_gallons_Monthly_Reconciled,beginning_gallons_Weekly_Reconciled,sanityWeekly_CumulativeDaily_WeeksByLiftedGallons,sanityWeekly_CumulativeDaily_NextRefreshDate,computedWeekly,sanityComputedWeekly,computedMonthly,sanityComputedMonthly,remaining_gallons_Daily_Reconciled,remaining_gallons_Monthly_Reconciled,remaining_gallons_Weekly_Reconciled,additional_gallons_remaining_Daily_Reconciled,additional_gallons_remaining_Monthly_Reconciled,additional_gallons_remaining_Weekly_Reconciled,Ratability_Monthly,Ratability_Daily,Ratability_Weekly,Synthetic_Base_Weekly,Synthetic_Base_Daily,Synthetic_Base_Monthly,Ratability_Monthly_computed,sanityMonthly_CumulativeDaily_WeeksByLiftedGallons,sanityMonthly_CumulativeDaily_WeeksByNextRefreshDate
2015-08-11,2015-08-11 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,12600,-1,88200,0,13800,0,13800,13800,-1,0,-1,35301,0,w2,13800,0,35301,18900,-1,123480,Available,-1,Available,150%,150,-1,100,140%,140,On Track,-1,Below Trend,08/12 00:00:00 CDT,-1,w2,0,2015-08-13 00:00:00,Contract,-1,Contract,12600,12600,-1,-1,88200,5100,-1,88179,0,-1,0,0,-1,0,3113203,-1,3113204,2015-08-11 22:03:28,2015-08-11 00:00:00,2015-08-11 22:03:28,Mansfield,-1,Mansfield,12600,-1,88200,18900,-1,123480,False,True,0,0,0,0,5100,-1,88179,-1,-1,-1,-1,133.0,0,88200,12600.0,390600.0,-1,0,0
2015-08-12,2015-08-12 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w3,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w2,1,2015-08-13 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-12 00:00:00,2015-08-12 00:00:00,2015-08-12 00:00:00,-1,-1,-1,12600,-1,88200,18900,-1,123480,True,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,88200,12600.0,390600.0,-1,0,0
2015-08-13,2015-08-13 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,12600,-1,88200,0,0,0,0,0,-1,0,-1,0,0,w3,0,0,0,18900,-1,123480,Available,-1,Available,150%,150,-1,100,140%,140,Below Trend,-1,Below Trend,08/14 00:00:00 CDT,-1,w3,0,2015-08-20 00:00:00,Contract,-1,Contract,12600,12600,-1,-1,88200,18900,-1,123480,0,-1,0,0,-1,0,3192496,-1,3192497,2015-08-13 09:03:41,2015-08-13 00:00:00,2015-08-13 09:03:41,Mansfield,-1,Mansfield,12600,-1,88200,18900,-1,123480,False,True,0,0,0,0,18900,-1,123480,-1,-1,-1,-1,0.0,0,88200,12600.0,390600.0,-1,0,0
2015-08-14,2015-08-14 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-08-20 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-14 00:00:00,2015-08-14 00:00:00,2015-08-14 00:00:00,-1,-1,-1,12600,-1,88200,18900,-1,123480,True,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,88200,12600.0,390600.0,-1,0,0
2015-08-15,2015-08-15 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-08-20 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-15 00:00:00,2015-08-15 00:00:00,2015-08-15 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-16,2015-08-16 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-08-20 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-16 00:00:00,2015-08-16 00:00:00,2015-08-16 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-17,2015-08-17 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-08-20 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-17 00:00:00,2015-08-17 00:00:00,2015-08-17 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-18,2015-08-18 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-08-20 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-18 00:00:00,2015-08-18 00:00:00,2015-08-18 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-19,2015-08-19 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w3,1,2015-08-20 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-19 00:00:00,2015-08-19 00:00:00,2015-08-19 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-20,2015-08-20 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-20 00:00:00,2015-08-20 00:00:00,2015-08-20 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-21,2015-08-21 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-21 00:00:00,2015-08-21 00:00:00,2015-08-21 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-22,2015-08-22 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-22 00:00:00,2015-08-22 00:00:00,2015-08-22 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-23,2015-08-23 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-23 00:00:00,2015-08-23 00:00:00,2015-08-23 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-24,2015-08-24 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-24 00:00:00,2015-08-24 00:00:00,2015-08-24 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-25,2015-08-25 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-25 00:00:00,2015-08-25 00:00:00,2015-08-25 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-26,2015-08-26 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w4,1,2015-08-27 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-26 00:00:00,2015-08-26 00:00:00,2015-08-26 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-27,2015-08-27 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w5,1,2015-09-03 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-27 00:00:00,2015-08-27 00:00:00,2015-08-27 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,True,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-28,2015-08-28 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w5,1,2015-09-03 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-28 00:00:00,2015-08-28 00:00:00,2015-08-28 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
2015-08-29,2015-08-29 00:00:00,Exxon,MANSFIELD OIL COMPANY OF 106305 IW,WASKOM TX SUNOCO TP - 00P7,ULSD,-1,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,w4,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,150,-1,100,-1,140,-1,-1,-1,-1,-1,w5,1,2015-09-03 00:00:00,-1,-1,-1,12600,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2015-08-29 00:00:00,2015-08-29 00:00:00,2015-08-29 00:00:00,-1,-1,-1,-1,-1,-1,-1,-1,-1,False,False,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1.0,-1,-1,-1.0,-1.0,-1,0,0
